#{"t_start": 1767467425.5697112, "env_id": "None"}
r,l,t
-1874596.799588,1001,6.314338
-2331575.843167,1001,11.405473
-2060424.867605,1001,15.997304
-1834803.402001,1001,20.388485
-2327943.310663,1001,34.242672
-1957684.743418,1001,38.82895
-1782416.128546,1001,43.508101
-1916218.729213,1001,48.02692
-1869277.775692,1001,61.811751
-1809779.44662,1001,66.402714
-2191599.285554,1001,71.007493
-2391965.962297,1001,75.533689
-1968166.521168,1001,89.505829
-1917603.651399,1001,94.167562
-1711176.421857,1001,98.540958
-1934232.487584,1001,102.949771
-2174454.39452,1001,116.917412
-1733872.135458,1001,121.239571
-2245970.444188,1001,125.502526
-1857693.254988,1001,129.912121
-2013078.452533,1001,143.731677
-2044943.047021,1001,148.12745
-1688581.931258,1001,152.444919
-1893581.912649,1001,156.981527
-1934130.925088,1001,170.63254
-2061094.643021,1001,175.027018
-1749030.582227,1001,179.261664
-1956312.926339,1001,183.681065
-1866908.351104,1001,197.463594
-1971035.152684,1001,201.977384
-1951883.815245,1001,206.389304
-2136562.877881,1001,210.616456
-2163678.157076,1001,224.301835
-2058237.950894,1001,228.581662
-2006423.637367,1001,232.892377
-2048509.887813,1001,237.468821
-2179340.02031,1001,251.20785
-2180349.000953,1001,255.628998
-2039358.541455,1001,259.979659
-2158503.717458,1001,264.762953
-1931303.922254,1001,278.624696
-1941718.500083,1001,283.086429
-2117208.788613,1001,287.53026
-1955828.848014,1001,291.959588
-2152835.348275,1001,296.379159
-1987650.565117,1001,310.400539
-1945847.430573,1001,315.121709
-1961239.089537,1001,319.425297
-1922900.913911,1001,323.888253
-2018002.899158,1001,337.501049
-2123635.726034,1001,342.018515
-1778730.092296,1001,346.50533
-1816503.90252,1001,350.968365
