#{"t_start": 1767452947.0448513, "env_id": "None"}
r,l,t
-165959.896864,1001,6.439327
-211287.410266,1001,10.843916
-184441.532645,1001,14.664695
-161895.853104,1001,18.374671
-210871.475302,1001,30.540847
-174107.585121,1001,34.37266
-156878.889869,1001,38.168705
-170092.362988,1001,42.557171
-165461.214066,1001,54.944906
-159509.061047,1001,58.724035
-197516.488879,1001,62.677299
-217236.858881,1001,66.539619
-175305.82948,1001,78.802463
-170257.178357,1001,82.686534
-149819.856937,1001,86.487177
-171675.196332,1001,90.408831
-195731.282073,1001,102.041202
-152205.595648,1001,105.900684
-202789.519659,1001,109.738441
-164333.14649,1001,113.619392
-179818.692585,1001,125.531282
-182879.807199,1001,129.249227
-147267.552947,1001,132.931188
-167836.052914,1001,136.871823
-171791.113749,1001,150.71164
-184536.521359,1001,154.654704
-153427.930886,1001,158.754365
-173917.826975,1001,163.002932
-165265.385401,1001,176.777253
-175379.937092,1001,180.758642
-173272.376015,1001,184.797331
-191940.894111,1001,189.507276
-194682.44892,1001,203.244021
-183971.9039,1001,207.768665
-178782.462436,1001,212.003507
-183162.515917,1001,216.092641
-195873.218459,1001,230.503539
-196341.223787,1001,234.768877
-182036.876518,1001,239.08929
-193958.501353,1001,243.344986
-171802.75532,1001,255.712302
-172262.190584,1001,259.511582
-190285.920153,1001,263.241802
-173565.260222,1001,267.070447
-193279.561029,1001,270.917542
-177084.703336,1001,282.834922
-172839.997249,1001,286.878988
-174374.069827,1001,290.569758
-170798.284615,1001,294.460626
-180255.0088,1001,306.678848
-190103.533807,1001,311.694347
-156369.904105,1001,316.014655
-160213.578058,1001,321.117955
-162176.009564,1001,334.153657
-182306.975818,1001,338.73065
-175642.312336,1001,342.74416
-160158.032386,1001,347.543417
-195029.209998,1001,361.399246
-183713.249475,1001,366.056921
-154155.542432,1001,370.118962
-178326.723098,1001,373.97137
-205685.522486,1001,386.676853
-178082.559817,1001,390.951565
-181805.363669,1001,395.308429
-169623.162887,1001,400.035058
-145894.963693,1001,413.619444
-205487.848113,1001,418.486421
-201569.054778,1001,422.548371
-157571.901909,1001,426.487286
-130529.242398,1001,438.360762
-182349.454902,1001,442.382419
-149254.411453,1001,446.302872
-170495.070199,1001,450.394351
-180371.266925,1001,462.478563
-169365.250303,1001,466.831754
-147220.727636,1001,470.749288
-168041.731753,1001,474.881516
-164096.880865,1001,487.806997
-161194.956551,1001,491.718736
-173180.143511,1001,495.682995
-174264.690894,1001,499.622221
-196366.130492,1001,512.773906
-168116.285695,1001,516.819113
-200197.513714,1001,520.939631
-206157.160727,1001,524.782079
-166958.632663,1001,537.144696
-153473.668489,1001,541.032329
-199416.278423,1001,545.000559
-203664.444652,1001,548.881732
-200871.164328,1001,552.841709
-182941.927544,1001,565.428323
-201617.131092,1001,569.446085
-171958.925827,1001,573.430934
-183802.693526,1001,577.400286
-183832.164601,1001,589.690173
-189674.497938,1001,593.524897
-171440.429983,1001,597.75922
-182220.811955,1001,601.569688
-182348.559643,1001,613.922935
-184628.140937,1001,617.812172
-184013.530541,1001,621.812003
-187343.087608,1001,625.884842
