#{"t_start": 1767730307.2072077, "env_id": "None"}
r,l,t
-3617653.318171,2001,10.392499
-3477700.882058,2001,18.898352
-3253178.602985,2001,27.188463
-3230031.577004,2001,35.490363
-3246717.338094,2001,56.853107
-3434673.855666,2001,65.249244
-3514395.170509,2001,73.311685
-3429961.870743,2001,82.304378
-3814727.341647,2001,106.073079
-3347704.782206,2001,115.080163
-3592406.883985,2001,122.936948
-3478216.170231,2001,131.089751
-3415355.570261,2001,150.977171
-3489860.136081,2001,158.70918
-3309624.700779,2001,166.63217
-3336220.531585,2001,174.564086
-3487051.655025,2001,194.20654
-3309560.704903,2001,201.966728
-3331200.46812,2001,209.862688
-3531468.138381,2001,217.655418
-3336147.519634,2001,238.398461
-3124829.181949,2001,246.113649
-3563656.100493,2001,254.029835
-3448473.349058,2001,261.960392
-3269306.370286,2001,282.145876
-3325144.787225,2001,290.725059
-3293349.209384,2001,299.780797
-3318925.407081,2001,309.345369
-3075602.46891,2001,332.378484
-3256739.596365,2001,340.66836
-3376992.893014,2001,348.734631
-3179521.421774,2001,356.881919
-3356251.585425,2001,379.41519
-3368187.423269,2001,387.427808
-3477861.206618,2001,395.329369
-3469567.193367,2001,403.145614
-3436005.400422,2001,423.171309
-3371592.206235,2001,431.172318
-3309392.476487,2001,439.374228
-3477499.230628,2001,447.517787
-3269641.410037,2001,467.43373
-3219667.110699,2001,475.243217
-3271932.580205,2001,482.978806
-3341753.244311,2001,490.805713
-3483660.934623,2001,498.434852
-3440151.220495,2001,518.319437
-3286355.370781,2001,526.31265
-3551516.776736,2001,534.799158
-3219375.282593,2001,542.515253
-3392327.60155,2001,562.148418
-3272273.334177,2001,570.072863
-3280881.267538,2001,577.811387
-3276315.90594,2001,586.29465
-3273217.748938,2001,606.045718
-3425672.415416,2001,613.822731
-3347358.191172,2001,621.829786
-3321247.377275,2001,629.535171
-2965964.203681,2001,649.43331
-3300267.536681,2001,657.205554
-3290734.288533,2001,665.171297
-3316645.741068,2001,673.126765
-3282325.828062,2001,693.003427
-3534530.775219,2001,701.218983
-3131501.662214,2001,708.968469
-3335537.879311,2001,717.038804
-3368094.118814,2001,737.332821
-3398430.382765,2001,745.058368
-3151026.136501,2001,752.709791
-3056966.872894,2001,760.6415
-3221970.721569,2001,780.471975
-3069225.438079,2001,788.055408
-3022816.43893,2001,795.801769
-3133151.9895,2001,803.534627
-3173037.504259,2001,824.313408
-3152460.551239,2001,832.8127
-3051138.833804,2001,841.107818
-3309776.810373,2001,848.798785
-3035195.975883,2001,870.108776
-3184696.102757,2001,878.680617
-3377497.294499,2001,888.060183
-3370639.850795,2001,897.955401
