#{"t_start": 1767454746.298802, "env_id": "None"}
r,l,t
-1874596.799588,1001,6.280937
-2331575.843167,1001,10.53096
-2060424.867605,1001,14.645323
-1834803.402001,1001,18.835624
-2327943.310663,1001,32.287147
-1957684.743418,1001,36.545567
-1782416.128546,1001,40.90328
-1916218.729213,1001,45.193841
-1869277.775692,1001,60.069387
-1809779.44662,1001,64.31813
-2191599.285554,1001,68.49968
-2391965.962297,1001,72.634097
-1968166.521168,1001,86.773295
-1917603.651399,1001,91.558869
-1711176.421857,1001,96.049501
-1934232.487584,1001,100.251098
-2174454.39452,1001,113.205297
-1733872.135458,1001,117.669007
-2245970.444188,1001,122.828657
-1857693.254988,1001,129.045352
-2013078.452533,1001,150.213473
-2044943.047021,1001,155.011097
-1688581.931258,1001,159.524369
-1893581.912649,1001,163.845815
-1934130.925088,1001,177.857643
-2061094.643021,1001,183.567683
-1749030.582227,1001,189.22138
-1956312.926339,1001,193.880192
-1866908.351104,1001,207.548898
-1971035.152684,1001,211.899779
-1951883.815245,1001,216.006505
-2136562.877881,1001,220.171259
-2163678.157076,1001,233.31149
-2058237.950894,1001,237.4419
-2006423.637367,1001,241.65215
-2048509.887813,1001,245.792398
-2179340.02031,1001,259.007375
-2180349.000953,1001,263.609488
-2039358.541455,1001,267.711123
-2158503.717458,1001,271.884806
-1931303.922254,1001,284.94493
-1941718.500083,1001,289.182133
-2117208.788613,1001,293.438174
-1955828.848014,1001,297.646886
-2152835.348275,1001,301.839741
-1987650.565117,1001,315.41903
-1945847.430573,1001,319.940398
-1961239.089537,1001,324.116161
-1922900.913911,1001,328.384425
-2018002.899158,1001,341.681507
-2123635.726034,1001,346.137928
-1778730.092296,1001,350.46576
-1816503.90252,1001,354.648437
-1840141.045377,1001,367.904417
-2040620.38539,1001,372.237907
-1979478.466829,1001,376.41402
-1816963.254107,1001,380.735817
-2166927.720312,1001,394.668548
-2056389.551583,1001,398.964621
-1762401.467587,1001,403.492905
-1999020.336185,1001,407.813276
-2273439.00462,1001,421.070816
-1999155.89538,1001,425.331078
-2034651.886236,1001,429.475328
-1915184.583231,1001,433.73596
-1676351.813519,1001,447.424868
-2273061.634596,1001,451.702129
-2232157.212731,1001,456.019891
-1790871.806782,1001,460.305653
-1518561.415153,1001,473.387015
-2040224.526615,1001,477.67237
-1713730.686049,1001,482.100791
-1923913.961707,1001,486.288192
-2023538.016981,1001,499.61936
-1907991.352497,1001,504.111736
-1686539.846698,1001,508.432534
-1898084.010526,1001,512.724747
-1858848.999592,1001,525.667832
-1828997.719046,1001,529.758222
-1950651.761438,1001,534.015287
-1963464.059779,1001,538.246853
-2173111.502319,1001,552.272877
-1900947.403609,1001,556.473885
