#{"t_start": 1767456210.3263125, "env_id": "None"}
r,l,t
-1874596.799588,1001,6.110081
-2331575.843167,1001,10.243721
-2060424.867605,1001,14.600973
-1834803.402001,1001,18.869926
-2327943.310663,1001,31.773538
-1957684.743418,1001,36.175539
-1782416.128546,1001,40.521739
-1916218.729213,1001,44.913934
-1869277.775692,1001,59.099173
-1809779.44662,1001,63.553455
-2191599.285554,1001,68.017484
-2391965.962297,1001,72.239289
-1968166.521168,1001,86.095711
-1917603.651399,1001,90.394374
-1711176.421857,1001,94.695818
-1934232.487584,1001,99.44737
-2174454.39452,1001,113.820549
-1733872.135458,1001,117.992432
-2245970.444188,1001,122.902089
-1857693.254988,1001,127.509125
-2013078.452533,1001,141.375553
-2044943.047021,1001,145.807131
-1688581.931258,1001,150.188949
-1893581.912649,1001,154.595819
-1934130.925088,1001,168.104357
-2061094.643021,1001,172.374066
-1749030.582227,1001,176.710382
-1956312.926339,1001,181.305805
-1866908.351104,1001,194.968563
-1971035.152684,1001,199.379009
-1951883.815245,1001,203.554345
-2136562.877881,1001,208.241258
-2163678.157076,1001,221.820333
-2058237.950894,1001,226.19931
-2006423.637367,1001,230.521879
-2048509.887813,1001,234.637629
-2179340.02031,1001,248.234397
-2180349.000953,1001,252.793019
-2039358.541455,1001,257.075571
-2158503.717458,1001,261.329572
-1931303.922254,1001,275.362184
-1941718.500083,1001,279.647154
-2117208.788613,1001,283.951534
-1955828.848014,1001,288.205452
-2152835.348275,1001,292.526145
-1987650.565117,1001,305.948859
-1945847.430573,1001,310.257576
-1961239.089537,1001,314.576052
-1922900.913911,1001,319.099972
-2018002.899158,1001,333.122347
-2123635.726034,1001,337.616165
-1778730.092296,1001,342.03498
-1816503.90252,1001,346.55
-1840141.045377,1001,360.288308
-2040620.38539,1001,364.707785
-1979478.466829,1001,368.952391
-1816963.254107,1001,373.172573
-2166927.720312,1001,386.699791
-2056389.551583,1001,391.028515
-1762401.467587,1001,395.483773
-1999020.336185,1001,399.642195
-2273439.00462,1001,413.652539
-1999155.89538,1001,418.396074
-2034651.886236,1001,423.131248
-1915184.583231,1001,427.992149
-1676351.813519,1001,441.789718
-2273061.634596,1001,446.272935
-2232157.212731,1001,450.567657
-1790871.806782,1001,454.99288
-1518561.415153,1001,468.561716
-2040224.526615,1001,472.958048
-1713730.686049,1001,477.233966
-1923913.961707,1001,481.940713
-2023538.016981,1001,495.630286
-1907991.352497,1001,500.083372
-1686539.846698,1001,504.859889
-1898084.010526,1001,509.137025
-1858848.999592,1001,523.33008
-1828997.719046,1001,527.671577
-1950651.761438,1001,531.926147
-1963464.059779,1001,536.052392
-2173111.502319,1001,549.918535
-1900947.403609,1001,554.166825
-2221910.614697,1001,558.377437
-2277329.733934,1001,562.607504
-1887639.556496,1001,576.085804
-1755238.00412,1001,580.333905
-2210448.83062,1001,584.800386
-2255017.014916,1001,589.246459
-2235779.032763,1001,593.623204
-2043471.165242,1001,607.222883
-2229147.190895,1001,611.629851
-1942234.769072,1001,615.893106
-2047688.09602,1001,620.141752
-2061198.883184,1001,633.578148
-2119681.943801,1001,637.687147
-1930587.360372,1001,641.938026
-2045290.854283,1001,646.193005
-2038469.066747,1001,659.584136
-2066387.659292,1001,664.829654
-2064204.742445,1001,669.833949
-2098338.597904,1001,675.402316
-2359932.979275,1001,692.428052
-1961915.94121,1001,697.185884
-2459858.453383,1001,701.44978
-2037505.335203,1001,705.821743
-2119688.369149,1001,719.664578
-1951913.69903,1001,724.021838
-2031796.347132,1001,728.352506
-1934028.177821,1001,732.72688
-1508313.985855,1001,747.202653
-2092642.081629,1001,751.888767
-2285212.578472,1001,756.761999
-2110434.957249,1001,761.128798
-1658301.403272,1001,774.974873
-2110625.816207,1001,779.134432
-2102394.430613,1001,783.490982
-2016300.404111,1001,788.4777
-1923031.991099,1001,802.040039
-2121684.082761,1001,806.359086
-1580361.111053,1001,810.769773
-1984558.712311,1001,815.338624
-1991910.894782,1001,831.082709
-1913177.782771,1001,835.986483
-1754030.401656,1001,841.421061
-1689376.147003,1001,845.890049
-2468797.715277,1001,861.222173
-2189569.907588,1001,866.091372
-1905948.21579,1001,871.627067
-1932601.052477,1001,876.525124
-2132008.315026,1001,892.797272
-1893306.193957,1001,897.728358
-1899821.058775,1001,902.529067
-2177074.441055,1001,907.656933
-2260840.497186,1001,912.004059
-2397939.035908,1001,926.058311
-1906391.382181,1001,931.313655
-2143611.171294,1001,936.641412
-2051025.873594,1001,941.566898
-2332100.943493,1001,956.225818
-2036498.949461,1001,960.487508
-2094719.341949,1001,964.806225
-2149974.852844,1001,969.246814
-2048557.467828,1001,982.862134
-2060920.67942,1001,987.359802
-2007365.441162,1001,991.71056
-1964736.090232,1001,995.87112
-1951575.855786,1001,1009.523109
-1974538.72449,1001,1013.644519
-2166347.30543,1001,1017.819413
-2079633.620814,1001,1022.362555
-2065329.562516,1001,1036.840057
-2327587.656818,1001,1041.186553
-1923614.342613,1001,1045.56836
-1865381.371541,1001,1049.783384
-2272455.432296,1001,1064.1197
-2132240.845377,1001,1068.492608
-1897858.20651,1001,1072.765182
-1914174.198159,1001,1077.076648
-1977230.808761,1001,1091.076772
-2150975.835673,1001,1095.386993
-1998009.756144,1001,1099.609207
-2378964.770665,1001,1103.741436
-2006607.363824,1001,1117.837
-1953686.666616,1001,1122.341194
-2096961.710481,1001,1126.879798
-2264832.801621,1001,1131.051128
-1984576.116542,1001,1144.872042
-1912117.539796,1001,1149.462401
-2108742.085711,1001,1155.295106
-2205537.836902,1001,1161.953516
-1821301.396994,1001,1178.295407
-2025713.714471,1001,1183.971435
-1899089.262713,1001,1189.61968
-1705221.50673,1001,1195.172292
-1773568.156487,1001,1209.157041
-1767508.637681,1001,1213.522187
-2011576.048785,1001,1217.96717
-1901822.325446,1001,1222.619552
-2127365.114348,1001,1227.133641
-1885983.362283,1001,1241.439299
-1935328.679101,1001,1245.918169
-2070566.149824,1001,1250.29522
-2008099.081655,1001,1254.626935
-2105918.707433,1001,1269.008468
-2110516.964414,1001,1273.193806
-2164900.804292,1001,1277.708907
-1930441.221138,1001,1282.111432
-1837912.288344,1001,1295.750156
-2050203.962302,1001,1300.07484
-2023320.41874,1001,1304.317363
-1998124.253631,1001,1308.619995
-1838424.462636,1001,1322.421486
-2043647.601407,1001,1327.293228
-2089986.207614,1001,1332.520105
-1879326.25398,1001,1337.272277
-2210747.190379,1001,1357.114692
-2065052.410117,1001,1363.052484
-1932515.175362,1001,1370.021359
-1994168.573802,1001,1377.725807
