#{"t_start": 1767453904.5301507, "env_id": "None"}
r,l,t
-165959.896864,1001,6.28998
-211287.410266,1001,11.605119
-184441.532645,1001,16.755437
-161895.853104,1001,21.182025
-210871.475302,1001,39.396782
-174107.585121,1001,45.937765
-156878.889869,1001,52.602089
-170092.362988,1001,58.749655
-165461.214066,1001,75.003908
-159509.061047,1001,79.973489
-197516.488879,1001,84.468998
-217236.858881,1001,88.785391
-175305.82948,1001,102.855226
-170257.178357,1001,107.360006
-149819.856937,1001,111.627057
-171675.196332,1001,115.861484
-195731.282073,1001,130.627611
-152205.595648,1001,136.48628
-202789.519659,1001,141.823413
-164333.14649,1001,146.477893
-179818.692585,1001,159.901019
-182879.807199,1001,163.976996
-147267.552947,1001,168.097108
-167836.052914,1001,172.182116
-171791.113749,1001,185.007602
-184536.521359,1001,189.132856
-153427.930886,1001,193.318179
-173917.826975,1001,197.417238
-165265.385401,1001,210.467709
-175379.937092,1001,214.709605
-173272.376015,1001,218.717653
-191940.894111,1001,222.723364
-194682.44892,1001,235.465375
-183971.9039,1001,239.780757
-178782.462436,1001,243.873094
-183162.515917,1001,248.002835
-195873.218459,1001,262.181127
-196341.223787,1001,267.492667
-182036.876518,1001,272.251207
-193958.501353,1001,277.56339
-171802.75532,1001,291.481696
-172262.190584,1001,295.557665
-190285.920153,1001,299.736269
-173565.260222,1001,303.783355
-193279.561029,1001,307.881205
-177084.703336,1001,320.821043
-172839.997249,1001,324.927888
-174374.069827,1001,329.330481
-170798.284615,1001,333.911716
-180255.0088,1001,347.16318
-190103.533807,1001,351.569908
-156369.904105,1001,355.683343
-160213.578058,1001,360.192718
-162176.009564,1001,373.544314
-182306.975818,1001,377.686593
-175642.312336,1001,381.874547
-160158.032386,1001,386.086934
-195029.209998,1001,399.342598
-183713.249475,1001,403.545856
-154155.542432,1001,407.697398
-178326.723098,1001,411.867036
-205685.522486,1001,425.981039
-178082.559817,1001,430.716886
-181805.363669,1001,435.025266
-169623.162887,1001,439.438116
-145894.963693,1001,452.716692
-205487.848113,1001,457.049238
-201569.054778,1001,461.169819
-157571.901909,1001,465.408018
-130529.242398,1001,478.528434
-182349.454902,1001,483.152888
-149254.411453,1001,487.318681
-170495.070199,1001,491.534911
-180371.266925,1001,504.676276
-169365.250303,1001,508.895424
-147220.727636,1001,513.22085
-168041.731753,1001,517.368381
-164096.880865,1001,530.541985
-161194.956551,1001,534.750507
-173180.143511,1001,539.768626
-174264.690894,1001,544.836078
-196366.130492,1001,561.065549
-168116.285695,1001,568.420626
-200197.513714,1001,573.641296
-206157.160727,1001,578.400258
-166958.632663,1001,593.093244
-153473.668489,1001,598.255301
-199416.278423,1001,602.982885
-203664.444652,1001,608.199547
-200871.164328,1001,613.169099
-182941.927544,1001,627.94653
-201617.131092,1001,633.376901
-171958.925827,1001,638.471159
-183802.693526,1001,643.094895
-183832.164601,1001,657.892645
-189674.497938,1001,662.709794
-171440.429983,1001,667.696003
-182220.811955,1001,672.63502
-182348.559643,1001,688.091278
-184628.140937,1001,693.537442
-184013.530541,1001,698.709564
-187343.087608,1001,703.598874
